time,open,high,low,close,volume,ticker
2024-09-04,70840,72000,70640,71800,2839100,VNM
2024-09-05,71800,72870,71610,72190,5857500,VNM
2024-09-06,72380,72960,72290,72870,3641800,VNM
2024-09-09,72580,72580,71710,72290,2638800,VNM
2024-09-10,72290,72960,71800,72380,3332400,VNM
2024-09-11,72290,72580,71420,72090,3165200,VNM
2024-09-12,72480,72670,71900,72190,2052100,VNM
2024-09-13,72290,72290,70450,70450,5347100,VNM
2024-09-16,70550,70550,69480,69480,4034700,VNM
2024-09-17,69580,70930,69290,70930,2390300,VNM
2024-09-18,71130,71420,70550,70840,2845300,VNM
2024-09-19,70740,71030,70550,70840,1572700,VNM
2024-09-20,71030,71510,70260,70260,5232400,VNM
